,customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating,visit_category,recency_days,lifetime_days
0,1,2019-06-08,YYC-NW,18,0.25,62.7,2019-06-08,2019-11-22,Calgary NW,False,84,6117.54,72.83,19,True,Rude Staff,3.95,Sering,1866,167
1,2,2023-12-21,YYC-NW,9,0.47,40.67,2023-12-21,2024-12-16,Calgary NW,False,10,540.63,54.06,10,True,Damaged Book,3.08,Sering,15,361
2,3,2021-03-10,ONLINE,3,0.25,220.5,2021-03-10,2022-01-10,Online,False,9,616.4,68.49,3,False,No Description,4.38,Jarang,1086,306
3,4,2021-08-13,ONLINE,15,0.43,466.8,2021-08-13,2023-11-03,Online,False,48,2125.24,44.28,14,True,Late Delivery,3.53,Sering,424,812
4,5,2024-02-12,YYC-NW,2,0.25,179.24,2024-02-12,2024-09-01,Calgary NW,False,1,36.92,36.92,1,False,No Description,3.41,Sangat Jarang,121,202
5,6,2024-04-18,YYC-NW,8,0.26,115.9,2024-04-18,2024-10-16,Calgary NW,False,5,214.42,42.88,8,True,Rude Staff,4.13,Sering,76,181
6,7,2019-11-17,YYC-SE,18,0.18,266.92,2019-11-17,2022-03-16,Calgary SE,False,73,1843.39,25.25,15,True,Damaged Book,3.51,Sering,1021,850
7,8,2019-06-23,YYC-NW,5,0.2,355.06,2019-06-23,2022-10-27,Calgary NW,False,24,695.07,28.96,4,False,No Description,3.88,Jarang,796,1222
8,9,2021-03-22,YYC-NW,15,0.34,142.81,2021-03-22,2022-06-07,Calgary NW,False,43,2937.53,68.31,9,True,Damaged Book,3.71,Sering,938,442
9,10,2020-02-17,YYC-DT,14,0.2,150.97,2020-02-17,2021-12-12,Calgary Downtown,False,56,4013.58,71.67,16,True,Website Issue,3.98,Sering,1115,664
10,11,2022-07-06,YYC-NW,5,0.24,88.16,2022-07-06,2024-05-14,Calgary NW,True,12,468.7,39.06,5,True,Rude Staff,4.46,Jarang,231,678
11,12,2024-12-04,YYC-NW,4,0.08,244.97,2024-12-04,2024-04-13,Calgary NW,False,1,26.54,26.54,4,False,No Description,4.18,Jarang,262,-235
12,13,2022-10-29,YYC-DT,18,0.2,257.67,2022-10-29,2023-02-15,Calgary Downtown,False,42,2410.63,57.4,9,True,Late Delivery,3.44,Sering,685,109
13,14,2020-03-26,YYC-DT,18,0.31,291.2,2020-03-26,2021-04-13,Calgary Downtown,False,65,5373.65,82.67,21,True,Damaged Book,3.12,Sangat Sering,1358,383
14,15,2019-03-09,YYC-DT,7,0.15,63.1,2019-03-09,2020-03-08,Calgary Downtown,True,37,1982.19,53.57,7,True,Website Issue,4.15,Sering,1759,365
15,16,2021-09-06,YYC-DT,3,0.32,72.62,2021-09-06,2024-12-01,Calgary Downtown,False,8,497.16,62.14,3,False,No Description,4.43,Jarang,30,1182
16,17,2024-05-12,ONLINE,19,0.05,103.9,2024-05-12,2024-12-25,Online,False,13,870.83,66.99,10,False,No Description,4.17,Sering,6,227
17,18,2023-11-16,ONLINE,2,0.1,91.48,2023-11-16,2024-08-27,Online,False,2,65.71,32.85,2,True,Late Delivery,3.18,Sangat Jarang,126,285
18,19,2020-12-09,YYC-NW,8,0.43,224.45,2020-12-09,2023-09-14,Calgary NW,False,22,1580.46,71.84,8,False,No Description,4.07,Sering,474,1009
19,20,2020-06-18,YYC-NW,11,0.35,112.28,2020-06-18,2024-01-18,Calgary NW,False,41,1319.07,32.17,7,False,No Description,4.32,Sering,348,1309
20,21,2023-05-10,YYC-NW,11,0.36,45.89,2023-05-10,2024-12-15,Calgary NW,False,16,1492.52,93.28,11,False,No Description,4.18,Sering,16,585
21,22,2019-04-18,YYC-DT,10,0.06,106.25,2019-04-18,2019-08-05,Calgary Downtown,False,47,1541.89,32.81,9,False,No Description,3.75,Sering,1975,109
22,23,2021-01-25,YYC-NW,4,0.08,191.09,2021-01-25,2022-11-11,Calgary NW,False,13,440.99,33.92,3,True,Rude Staff,3.41,Jarang,781,655
23,24,2021-02-16,YYC-SE,19,0.45,48.13,2021-02-16,2022-01-09,Calgary SE,False,65,4789.11,73.68,13,False,No Description,3.75,Sering,1087,327
24,25,2024-04-30,YYC-SE,5,0.28,77.42,2024-04-30,2024-10-01,Calgary SE,False,2,171.35,85.68,6,True,Billing Error,3.87,Jarang,91,154
25,26,2020-10-21,YYC-NW,10,0.12,59.09,2020-10-21,2023-12-20,Calgary NW,False,43,1159.71,26.97,6,False,No Description,3.97,Jarang,377,1155
26,27,2020-07-19,YYC-SE,17,0.39,209.2,2020-07-19,2021-06-06,Calgary SE,False,76,2915.12,38.36,13,False,No Description,4.02,Sering,1304,322
27,28,2020-01-04,YYC-DT,2,0.13,102.55,2020-01-04,2024-11-04,Calgary Downtown,True,9,774.02,86.0,2,True,Website Issue,3.97,Sangat Jarang,57,1766
28,29,2024-08-20,YYC-SE,18,0.09,130.29,2024-08-20,2024-12-14,Calgary SE,False,6,155.65,25.94,9,False,No Description,3.78,Sering,17,116
29,30,2021-06-07,YYC-NW,2,0.11,393.75,2021-06-07,2021-11-12,Calgary NW,False,5,268.81,53.76,2,False,No Description,3.64,Sangat Jarang,1145,158
30,31,2022-07-16,YYC-SE,16,0.45,4.18,2022-07-16,2023-01-29,Calgary SE,False,39,2825.58,72.45,11,False,No Description,3.02,Sering,702,197
31,32,2021-04-24,ONLINE,9,0.66,110.56,2021-04-24,2024-04-18,Online,True,31,1254.4,40.46,10,False,No Description,4.51,Sering,257,1090
32,33,2021-08-02,YYC-SE,19,0.23,35.74,2021-08-02,2022-09-09,Calgary SE,False,52,2680.1,51.54,13,True,Billing Error,3.23,Sering,844,403
33,34,2022-12-11,YYC-SE,18,0.05,206.49,2022-12-11,2024-04-11,Calgary SE,True,27,1842.8,68.25,18,True,Late Delivery,3.75,Sering,264,487
34,35,2022-03-11,ONLINE,19,0.3,160.03,2022-03-11,2024-12-12,Online,False,58,3891.56,67.1,21,False,No Description,3.66,Sangat Sering,19,1007
35,36,2022-09-20,YYC-NW,13,0.04,209.95,2022-09-20,2023-12-01,Calgary NW,True,29,1282.38,44.22,14,False,No Description,4.71,Sering,396,437
36,37,2024-03-18,YYC-DT,10,0.45,57.17,2024-03-18,2024-11-11,Calgary Downtown,False,8,711.56,88.94,8,False,No Description,4.09,Sering,50,238
37,38,2023-08-29,YYC-NW,3,0.16,256.99,2023-08-29,2024-08-22,Calgary NW,False,4,172.23,43.06,3,False,No Description,4.09,Jarang,131,359
38,39,2024-06-23,ONLINE,3,0.27,49.91,2024-06-23,2024-10-26,Online,False,1,34.95,34.95,2,False,No Description,3.8,Sangat Jarang,66,125
39,40,2023-09-12,YYC-DT,5,0.22,184.82,2023-09-12,2023-12-22,Calgary Downtown,True,4,257.76,64.44,5,False,No Description,4.38,Jarang,375,101
40,41,2020-01-25,YYC-SE,2,0.23,32.62,2020-01-25,2024-04-08,Calgary SE,False,7,304.46,43.49,2,False,No Description,4.72,Sangat Jarang,267,1535
41,42,2022-11-26,YYC-NW,8,0.29,200.89,2022-11-26,2024-12-01,Calgary NW,False,15,1238.84,82.59,8,True,Damaged Book,3.03,Sering,30,736
42,43,2019-06-11,YYC-DT,10,0.43,69.12,2019-06-11,2020-11-16,Calgary Downtown,False,55,2375.46,43.19,11,False,No Description,4.14,Sering,1506,524
