customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,dataset
1,2019-05-15,YYC-DT,10,0.36,120.63,bookstore_customers
2,2020-04-05,YYC-DT,12,0.45,202.14,bookstore_customers
3,2024-07-05,YYC-NW,11,0.1,442.96,bookstore_customers
4,2022-09-06,YYC-DT,7,0.15,45.76,bookstore_customers
5,2023-08-21,YYC-DT,9,0.26,213.34,bookstore_customers
6,2023-06-28,YYC-NW,12,0.43,95.62,bookstore_customers
7,2019-09-28,YYC-DT,12,0.26,97.78,bookstore_customers
8,2020-01-06,YYC-DT,1,0.34,102.52,bookstore_customers
9,2020-08-26,YYC-DT,11,0.49,152.51,bookstore_customers
10,2022-07-17,YYC-SE,10,0.23,313.9,bookstore_customers
11,2023-06-24,YYC-DT,12,0.1,292.09,bookstore_customers
12,2023-07-01,YYC-NW,21,0.27,172.22,bookstore_customers
13,2024-02-16,YYC-DT,18,0.18,53.56,bookstore_customers
14,2024-04-24,YYC-NW,10,0.26,48.95,bookstore_customers
15,2022-06-17,YYC-DT,4,0.58,215.75,bookstore_customers
16,2020-06-14,YYC-DT,15,0.39,179.36,bookstore_customers
17,2022-07-11,YYC-DT,9,0.18,314.82,bookstore_customers
18,2019-07-01,YYC-DT,8,0.38,95.46,bookstore_customers
19,2024-07-29,YYC-NW,14,0.4,190.6,bookstore_customers
20,2021-08-16,YYC-SE,0,0.23,46.62,bookstore_customers
21,2019-12-08,YYC-SE,14,0.33,115.33,bookstore_customers
22,2019-11-24,YYC-DT,8,0.37,196.22,bookstore_customers
23,2022-01-09,YYC-DT,14,0.49,214.55,bookstore_customers
24,2019-01-24,YYC-DT,8,0.4,58.35,bookstore_customers
25,2019-04-15,YYC-NW,11,0.18,92.03,bookstore_customers
26,2023-08-25,YYC-NW,1,0.17,126.03,bookstore_customers
27,2023-09-25,YYC-DT,7,0.3,91.21,bookstore_customers
28,2024-05-21,YYC-NW,7,0.19,100.46,bookstore_customers
29,2022-02-04,YYC-NW,10,0.49,232.95,bookstore_customers
30,2021-10-31,YYC-DT,5,0.37,178.62,bookstore_customers
31,2021-09-25,YYC-SE,10,0.18,268.86,bookstore_customers
32,2019-08-23,YYC-DT,6,0.24,45.45,bookstore_customers
33,2022-02-01,YYC-NW,5,0.24,129.98,bookstore_customers
34,2023-08-28,YYC-SE,7,0.21,100.28,bookstore_customers
35,2021-11-11,YYC-DT,9,0.37,105.37,bookstore_customers
36,2022-08-10,YYC-DT,1,0.2,183.65,bookstore_customers
37,2022-11-15,YYC-NW,5,0.25,181.51,bookstore_customers
38,2022-07-25,YYC-SE,7,0.24,131.99,bookstore_customers
39,2022-06-10,YYC-NW,10,0.47,68.82,bookstore_customers
40,2022-07-08,YYC-DT,5,0.23,187.64,bookstore_customers
41,2022-02-26,YYC-DT,10,0.1,84.05,bookstore_customers
42,2024-07-29,YYC-NW,11,0.56,96.02,bookstore_customers
43,2022-02-11,YYC-SE,9,0.23,171.91,bookstore_customers
44,2019-05-21,YYC-DT,4,0.25,147.87,bookstore_customers
45,2021-11-30,YYC-SE,14,0.22,340.02,bookstore_customers
46,2022-07-19,YYC-DT,10,0.35,282.96,bookstore_customers
47,2019-04-01,YYC-DT,2,0.2,34.37,bookstore_customers
48,2024-07-25,YYC-DT,0,0.15,179.85,bookstore_customers
49,2019-01-16,YYC-NW,4,0.33,115.75,bookstore_customers
50,2023-09-18,YYC-DT,8,0.13,125.49,bookstore_customers
51,2021-04-21,YYC-NW,4,0.12,189.5,bookstore_customers
52,2023-05-16,YYC-DT,6,0.28,69.28,bookstore_customers
53,2023-03-26,YYC-NW,13,0.63,62.18,bookstore_customers
54,2022-01-04,YYC-SE,4,0.22,207.89,bookstore_customers
55,2019-01-04,YYC-NW,8,0.4,112.39,bookstore_customers
56,2021-11-12,YYC-DT,0,0.41,165.47,bookstore_customers
57,2021-12-11,YYC-NW,11,0.59,225.26,bookstore_customers
58,2019-05-24,YYC-DT,12,0.02,362.6,bookstore_customers
59,2022-02-25,YYC-DT,11,0.18,32.4,bookstore_customers
60,2020-10-27,YYC-DT,11,0.29,171.54,bookstore_customers
61,2020-10-21,YYC-DT,10,0.13,33.16,bookstore_customers
62,2021-10-18,YYC-DT,0,0.27,55.18,bookstore_customers
63,2019-02-07,YYC-NW,9,0.37,91.67,bookstore_customers
64,2019-03-17,YYC-DT,2,0.17,100.72,bookstore_customers
65,2023-04-16,YYC-DT,11,0.15,165.27,bookstore_customers
66,2020-11-30,YYC-DT,13,0.18,122.33,bookstore_customers
67,2020-06-27,YYC-NW,12,0.37,290.05,bookstore_customers
68,2022-04-14,YYC-NW,8,0.42,199.65,bookstore_customers
69,2020-10-12,YYC-NW,17,0.09,24.27,bookstore_customers
70,2022-03-28,YYC-DT,0,0.06,166.59,bookstore_customers
71,2020-10-15,YYC-DT,13,0.44,114.73,bookstore_customers
72,2023-04-30,YYC-DT,5,0.26,133.8,bookstore_customers
73,2019-06-02,YYC-SE,12,0.87,107.46,bookstore_customers
74,2019-05-15,YYC-NW,3,0.31,167.51,bookstore_customers
75,2022-05-24,YYC-DT,1,0.24,142.76,bookstore_customers
76,2020-08-06,YYC-SE,13,0.3,66.48,bookstore_customers
77,2024-07-30,YYC-DT,2,0.12,340.78,bookstore_customers
78,2024-07-27,YYC-DT,10,0.47,75.47,bookstore_customers
79,2022-08-16,YYC-NW,2,0.07,78.74,bookstore_customers
80,2023-06-14,YYC-DT,10,0.46,27.37,bookstore_customers
81,2024-12-19,YYC-NW,7,0.29,336.75,bookstore_customers
82,2019-02-07,YYC-NW,7,0.28,42.92,bookstore_customers
83,2022-01-31,YYC-DT,10,0.25,73.49,bookstore_customers
84,2023-12-08,YYC-DT,4,0.14,121.5,bookstore_customers
85,2021-08-30,YYC-DT,7,0.38,90.7,bookstore_customers
86,2019-04-05,YYC-NW,12,0.07,231.78,bookstore_customers
87,2023-01-19,YYC-DT,3,0.09,113.3,bookstore_customers
88,2020-02-08,YYC-DT,8,0.3,167.1,bookstore_customers
89,2021-03-30,YYC-DT,8,0.3,229.9,bookstore_customers
90,2021-09-05,YYC-DT,6,0.18,267.28,bookstore_customers
91,2022-10-29,YYC-SE,4,0.14,148.35,bookstore_customers
92,2019-03-16,YYC-NW,10,0.06,91.33,bookstore_customers
93,2024-02-13,YYC-DT,4,0.02,83.17,bookstore_customers
94,2024-10-15,YYC-NW,3,0.1,116.73,bookstore_customers
95,2022-07-02,YYC-DT,8,0.21,56.62,bookstore_customers
96,2020-09-11,YYC-SE,8,0.66,150.82,bookstore_customers
97,2023-06-23,YYC-SE,16,0.21,127.46,bookstore_customers
98,2022-04-06,YYC-SE,15,0.46,59.21,bookstore_customers
99,2020-10-08,YYC-NW,9,0.04,301.26,bookstore_customers
100,2020-06-21,YYC-DT,0,0.37,229.92,bookstore_customers
101,2022-07-31,YYC-DT,8,0.31,25.31,bookstore_customers
102,2020-11-10,YYC-NW,7,0.18,131.04,bookstore_customers
103,2023-07-11,YYC-DT,9,0.35,106.72,bookstore_customers
104,2020-08-09,YYC-SE,3,0.24,316.68,bookstore_customers
105,2019-07-12,YYC-NW,5,0.39,85.44,bookstore_customers
106,2021-02-19,YYC-DT,8,0.08,94.57,bookstore_customers
107,2020-01-06,YYC-SE,12,0.19,7.49,bookstore_customers
108,2020-05-07,YYC-NW,0,0.34,177.58,bookstore_customers
109,2019-03-26,YYC-NW,1,0.14,34.59,bookstore_customers
110,2024-05-17,YYC-NW,6,0.41,188.89,bookstore_customers
111,2023-12-02,YYC-SE,5,0.56,474.33,bookstore_customers
112,2020-04-03,YYC-SE,14,0.18,198.22,bookstore_customers
113,2019-06-06,YYC-DT,2,0.19,126.06,bookstore_customers
114,2022-01-11,YYC-NW,6,0.25,193.14,bookstore_customers
115,2019-04-07,YYC-SE,8,0.19,103.77,bookstore_customers
116,2021-02-09,YYC-NW,8,0.35,396.82,bookstore_customers
117,2020-11-22,YYC-SE,9,0.37,64.0,bookstore_customers
118,2020-07-31,YYC-NW,13,0.27,88.49,bookstore_customers
119,2022-05-05,YYC-SE,5,0.34,138.99,bookstore_customers
120,2020-05-25,YYC-SE,0,0.11,99.11,bookstore_customers
121,2019-08-30,YYC-DT,5,0.27,127.04,bookstore_customers
122,2022-07-13,YYC-DT,8,0.28,63.1,bookstore_customers
123,2019-09-18,YYC-NW,12,0.49,68.23,bookstore_customers
124,2019-11-08,YYC-NW,8,0.32,109.09,bookstore_customers
125,2024-11-21,YYC-NW,0,0.46,152.23,bookstore_customers
126,2021-03-09,YYC-DT,8,0.17,64.71,bookstore_customers
127,2022-06-19,YYC-DT,11,0.09,346.58,bookstore_customers
128,2020-02-27,YYC-DT,3,0.62,52.07,bookstore_customers
129,2022-07-18,YYC-DT,9,0.19,163.79,bookstore_customers
130,2020-01-16,YYC-NW,6,0.08,37.64,bookstore_customers
131,2020-10-23,YYC-NW,16,0.45,124.93,bookstore_customers
132,2021-10-04,YYC-DT,6,0.11,289.46,bookstore_customers
133,2021-07-06,YYC-DT,3,0.21,93.6,bookstore_customers
134,2021-02-17,YYC-DT,11,0.45,363.22,bookstore_customers
135,2023-07-01,YYC-NW,7,0.19,191.85,bookstore_customers
136,2020-07-14,YYC-NW,14,0.26,223.05,bookstore_customers
137,2022-03-27,YYC-NW,0,0.09,66.69,bookstore_customers
138,2023-05-31,YYC-SE,1,0.23,224.14,bookstore_customers
139,2022-07-09,YYC-SE,10,0.49,416.28,bookstore_customers
140,2022-10-06,YYC-SE,3,0.2,159.39,bookstore_customers
141,2020-05-15,YYC-DT,14,0.16,78.26,bookstore_customers
142,2023-01-27,YYC-NW,5,0.14,190.17,bookstore_customers
143,2020-03-23,YYC-DT,7,0.21,106.65,bookstore_customers
144,2020-01-23,YYC-DT,14,0.59,101.6,bookstore_customers
145,2019-12-15,YYC-SE,9,0.16,171.55,bookstore_customers
146,2022-07-03,YYC-SE,10,0.5,55.11,bookstore_customers
147,2020-07-14,YYC-DT,7,0.67,147.59,bookstore_customers
148,2020-07-12,YYC-NW,9,0.05,194.93,bookstore_customers
149,2024-03-07,YYC-DT,7,0.06,65.56,bookstore_customers
150,2022-04-03,YYC-SE,9,0.11,261.36,bookstore_customers
151,2022-06-25,YYC-SE,11,0.08,52.38,bookstore_customers
152,2024-04-16,YYC-NW,12,0.14,174.39,bookstore_customers
153,2019-07-13,YYC-NW,5,0.26,113.92,bookstore_customers
154,2023-09-12,YYC-SE,12,0.34,154.67,bookstore_customers
155,2020-05-11,YYC-NW,10,0.51,210.19,bookstore_customers
156,2022-06-01,YYC-DT,3,0.16,39.02,bookstore_customers
157,2023-07-14,YYC-DT,10,0.66,87.37,bookstore_customers
158,2019-10-29,YYC-NW,17,0.09,270.09,bookstore_customers
159,2020-08-15,YYC-DT,3,0.38,67.0,bookstore_customers
160,2020-01-25,YYC-DT,8,0.54,100.96,bookstore_customers
161,2024-03-19,YYC-SE,4,0.05,43.7,bookstore_customers
162,2019-06-14,YYC-DT,11,0.4,128.71,bookstore_customers
163,2023-10-29,YYC-DT,3,0.28,234.23,bookstore_customers
164,2020-11-19,YYC-NW,6,0.22,42.53,bookstore_customers
165,2020-07-13,YYC-DT,2,0.38,20.95,bookstore_customers
166,2019-10-20,YYC-SE,1,0.17,237.78,bookstore_customers
167,2020-08-11,YYC-NW,11,0.39,232.82,bookstore_customers
168,2023-06-28,YYC-DT,7,0.26,113.82,bookstore_customers
169,2019-01-11,YYC-DT,12,0.35,252.23,bookstore_customers
170,2022-11-04,YYC-SE,19,0.56,119.69,bookstore_customers
171,2021-05-24,YYC-DT,12,0.29,326.75,bookstore_customers
172,2020-05-11,YYC-DT,5,0.35,166.5,bookstore_customers
173,2019-03-02,YYC-NW,5,0.23,39.57,bookstore_customers
174,2022-02-02,YYC-NW,4,0.03,118.87,bookstore_customers
175,2023-08-25,YYC-DT,5,0.39,219.29,bookstore_customers
176,2019-10-16,YYC-NW,3,0.44,102.03,bookstore_customers
177,2024-06-29,YYC-SE,0,0.07,69.18,bookstore_customers
178,2022-10-23,YYC-NW,8,0.22,96.22,bookstore_customers
179,2024-11-01,YYC-NW,9,0.58,209.53,bookstore_customers
180,2020-04-13,YYC-NW,8,0.18,133.03,bookstore_customers
181,2020-07-18,YYC-NW,10,0.44,102.57,bookstore_customers
182,2024-05-26,YYC-NW,0,0.56,35.3,bookstore_customers
183,2019-08-19,YYC-DT,3,0.03,282.27,bookstore_customers
184,2022-09-19,YYC-DT,8,0.29,78.62,bookstore_customers
185,2022-07-05,YYC-DT,14,0.31,327.13,bookstore_customers
186,2020-05-12,YYC-SE,19,0.39,152.36,bookstore_customers
187,2024-08-15,YYC-DT,11,0.62,182.33,bookstore_customers
188,2023-04-30,YYC-DT,4,0.21,119.0,bookstore_customers
189,2023-06-22,YYC-SE,9,0.66,255.68,bookstore_customers
190,2021-08-21,YYC-DT,12,0.19,109.04,bookstore_customers
191,2022-08-16,YYC-NW,4,0.1,46.67,bookstore_customers
192,2023-08-11,YYC-NW,13,0.35,159.2,bookstore_customers
193,2019-08-28,YYC-NW,9,0.26,266.77,bookstore_customers
194,2024-12-05,YYC-DT,10,0.36,179.07,bookstore_customers
195,2020-03-07,YYC-DT,6,0.1,117.06,bookstore_customers
196,2019-09-01,YYC-SE,4,0.36,87.0,bookstore_customers
197,2020-06-07,YYC-DT,0,0.24,241.88,bookstore_customers
198,2023-11-09,YYC-SE,5,0.35,100.65,bookstore_customers
199,2024-11-02,YYC-DT,13,0.08,243.11,bookstore_customers
200,2024-01-30,YYC-NW,9,0.04,252.66,bookstore_customers
201,2023-07-13,YYC-DT,4,0.37,150.86,bookstore_customers
202,2021-04-03,YYC-SE,13,0.03,114.33,bookstore_customers
203,2023-10-27,YYC-DT,6,0.3,184.33,bookstore_customers
204,2023-08-04,YYC-SE,4,0.53,82.76,bookstore_customers
205,2024-10-01,YYC-DT,7,0.24,202.94,bookstore_customers
206,2020-01-09,YYC-DT,1,0.16,98.96,bookstore_customers
207,2019-12-25,YYC-DT,14,0.16,240.06,bookstore_customers
208,2019-08-20,YYC-SE,12,0.22,64.98,bookstore_customers
209,2019-10-05,YYC-NW,10,0.4,251.63,bookstore_customers
210,2024-03-04,YYC-NW,6,0.4,98.15,bookstore_customers
211,2020-09-03,YYC-SE,4,0.34,351.22,bookstore_customers
212,2022-03-29,YYC-SE,13,0.41,489.46,bookstore_customers
213,2024-01-09,YYC-DT,0,0.32,161.67,bookstore_customers
214,2019-04-06,YYC-DT,1,0.09,98.58,bookstore_customers
215,2024-09-16,YYC-DT,17,0.15,207.08,bookstore_customers
216,2021-04-06,YYC-DT,10,0.07,262.84,bookstore_customers
217,2021-09-22,YYC-NW,12,0.09,147.48,bookstore_customers
218,2023-06-02,YYC-NW,9,0.38,313.78,bookstore_customers
219,2019-10-18,YYC-DT,11,0.31,97.21,bookstore_customers
220,2023-04-02,YYC-NW,9,0.12,66.4,bookstore_customers
221,2021-03-16,YYC-DT,11,0.13,52.96,bookstore_customers
222,2023-10-17,YYC-SE,8,0.31,124.51,bookstore_customers
223,2022-08-01,YYC-NW,4,0.41,202.36,bookstore_customers
224,2024-05-16,YYC-DT,11,0.35,86.34,bookstore_customers
225,2020-10-26,YYC-DT,15,0.44,121.37,bookstore_customers
226,2022-04-29,YYC-NW,8,0.66,259.58,bookstore_customers
227,2022-10-07,YYC-DT,10,0.38,98.91,bookstore_customers
228,2024-10-30,YYC-SE,2,0.22,305.88,bookstore_customers
229,2024-05-30,YYC-DT,8,0.32,44.61,bookstore_customers
230,2022-01-11,YYC-NW,0,0.05,137.11,bookstore_customers
231,2023-02-28,YYC-NW,14,0.29,141.05,bookstore_customers
232,2023-10-25,YYC-SE,11,0.29,116.19,bookstore_customers
233,2021-03-14,YYC-SE,3,0.21,93.83,bookstore_customers
234,2024-08-02,YYC-SE,20,0.78,113.2,bookstore_customers
235,2023-07-04,YYC-NW,12,0.4,95.29,bookstore_customers
236,2023-12-21,YYC-NW,8,0.54,174.27,bookstore_customers
237,2023-08-25,YYC-NW,0,0.31,66.95,bookstore_customers
238,2019-04-23,YYC-DT,13,0.39,323.91,bookstore_customers
239,2022-10-07,YYC-NW,2,0.29,80.77,bookstore_customers
240,2019-04-23,YYC-NW,6,0.19,191.78,bookstore_customers
241,2023-02-15,YYC-DT,14,0.48,137.56,bookstore_customers
242,2020-10-18,YYC-DT,16,0.59,77.19,bookstore_customers
243,2022-09-12,YYC-DT,12,0.08,167.68,bookstore_customers
244,2023-03-11,YYC-SE,10,0.32,100.13,bookstore_customers
245,2019-11-05,YYC-DT,13,0.16,53.35,bookstore_customers
246,2021-12-02,YYC-SE,6,0.55,262.07,bookstore_customers
247,2020-10-11,YYC-NW,8,0.07,131.83,bookstore_customers
248,2023-10-02,YYC-DT,11,0.16,113.04,bookstore_customers
249,2022-11-30,YYC-NW,10,0.03,213.45,bookstore_customers
250,2021-09-12,YYC-SE,7,0.4,162.35,bookstore_customers
251,2020-04-07,YYC-DT,6,0.44,40.14,bookstore_customers
252,2021-12-29,YYC-SE,8,0.04,207.55,bookstore_customers
253,2019-07-01,YYC-DT,0,0.27,88.68,bookstore_customers
254,2024-10-25,YYC-SE,15,0.52,148.91,bookstore_customers
255,2022-12-11,YYC-NW,18,0.36,182.9,bookstore_customers
256,2024-07-29,YYC-DT,8,0.35,38.61,bookstore_customers
257,2020-04-05,YYC-SE,9,0.49,193.82,bookstore_customers
258,2019-10-29,YYC-SE,8,0.15,219.27,bookstore_customers
259,2023-03-14,YYC-NW,13,0.34,131.06,bookstore_customers
260,2021-11-19,YYC-DT,7,0.34,101.09,bookstore_customers
261,2024-05-07,YYC-NW,7,0.12,109.69,bookstore_customers
262,2024-12-22,YYC-NW,5,0.17,121.88,bookstore_customers
263,2020-07-14,YYC-NW,12,0.21,102.78,bookstore_customers
264,2021-01-20,YYC-DT,6,0.12,176.25,bookstore_customers
265,2024-10-22,YYC-DT,3,0.17,30.92,bookstore_customers
266,2024-07-01,YYC-DT,3,0.54,116.31,bookstore_customers
267,2020-08-02,YYC-DT,17,0.13,199.49,bookstore_customers
268,2024-03-11,YYC-SE,15,0.47,62.1,bookstore_customers
269,2023-04-26,YYC-DT,0,0.29,65.85,bookstore_customers
270,2019-01-31,YYC-DT,11,0.23,70.7,bookstore_customers
271,2022-09-05,YYC-NW,9,0.31,28.92,bookstore_customers
272,2020-02-12,YYC-DT,3,0.17,86.76,bookstore_customers
273,2022-04-09,YYC-DT,8,0.3,301.57,bookstore_customers
274,2023-12-25,YYC-DT,10,0.21,86.97,bookstore_customers
275,2023-12-22,YYC-SE,8,0.43,322.91,bookstore_customers
276,2019-02-16,YYC-DT,14,0.28,27.8,bookstore_customers
277,2019-09-05,YYC-DT,4,0.36,181.11,bookstore_customers
278,2022-09-03,YYC-NW,8,0.44,98.46,bookstore_customers
279,2019-04-17,YYC-SE,5,0.11,521.77,bookstore_customers
280,2021-05-22,YYC-NW,8,0.12,104.59,bookstore_customers
281,2024-04-30,YYC-DT,15,0.47,197.06,bookstore_customers
282,2019-01-04,YYC-NW,6,0.52,181.13,bookstore_customers
283,2022-06-28,YYC-DT,7,0.1,123.99,bookstore_customers
284,2024-04-28,YYC-SE,13,0.07,202.31,bookstore_customers
285,2021-01-27,YYC-SE,11,0.3,297.92,bookstore_customers
286,2021-06-08,YYC-NW,2,0.23,63.14,bookstore_customers
287,2019-09-15,YYC-DT,11,0.28,329.18,bookstore_customers
288,2020-08-14,YYC-NW,1,0.19,327.03,bookstore_customers
289,2024-04-15,YYC-DT,14,0.05,201.45,bookstore_customers
290,2019-03-05,YYC-NW,6,0.06,45.18,bookstore_customers
291,2020-07-05,YYC-DT,10,0.44,96.2,bookstore_customers
292,2024-05-08,YYC-SE,13,0.01,133.91,bookstore_customers
293,2021-11-26,YYC-DT,3,0.64,236.99,bookstore_customers
294,2024-08-02,YYC-DT,11,0.24,71.22,bookstore_customers
295,2024-02-09,YYC-DT,8,0.65,132.82,bookstore_customers
296,2020-05-15,YYC-NW,7,0.12,113.8,bookstore_customers
297,2020-09-14,YYC-SE,15,0.26,144.32,bookstore_customers
298,2021-09-02,YYC-DT,9,0.21,280.99,bookstore_customers
299,2020-05-06,YYC-DT,13,0.38,79.76,bookstore_customers
300,2020-08-01,YYC-DT,6,0.56,260.99,bookstore_customers
301,2019-01-19,YYC-DT,6,0.52,115.32,bookstore_customers
302,2022-05-11,YYC-DT,8,0.36,123.07,bookstore_customers
303,2023-05-11,YYC-NW,10,0.09,167.94,bookstore_customers
304,2019-08-13,YYC-NW,0,0.23,99.59,bookstore_customers
305,2023-09-04,YYC-DT,0,0.41,153.2,bookstore_customers
306,2024-06-03,YYC-NW,4,0.59,91.7,bookstore_customers
307,2020-02-07,YYC-SE,10,0.19,53.35,bookstore_customers
308,2023-07-09,YYC-NW,0,0.31,99.77,bookstore_customers
309,2022-05-16,YYC-NW,1,0.55,226.16,bookstore_customers
310,2021-02-13,YYC-NW,14,0.3,108.21,bookstore_customers
311,2022-06-10,YYC-DT,9,0.11,109.15,bookstore_customers
312,2023-06-22,YYC-SE,7,0.4,207.89,bookstore_customers
313,2024-12-13,YYC-SE,8,0.18,153.89,bookstore_customers
314,2024-07-12,YYC-SE,6,0.13,226.56,bookstore_customers
315,2024-08-13,YYC-DT,1,0.45,82.44,bookstore_customers
