customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating
1,2019-06-08,YYC-NW,18,0.25,62.7,2019-06-08,2019-11-22,Calgary NW,False,84,6117.54,72.83,19,True,Rude Staff,3.95
2,2023-12-21,YYC-NW,9,0.47,40.67,2023-12-21,2024-12-16,Calgary NW,False,10,540.63,54.06,10,True,Damaged Book,3.08
3,2021-03-10,ONLINE,3,0.25,220.5,2021-03-10,2022-01-10,Online,False,9,616.4,68.49,3,False,None,4.38
4,2021-08-13,ONLINE,15,0.43,466.8,2021-08-13,2023-11-03,Online,False,48,2125.24,44.28,14,True,Late Delivery,3.53
5,2024-02-12,YYC-NW,2,0.25,179.24,2024-02-12,2024-09-01,Calgary NW,False,1,36.92,36.92,1,False,None,3.41
6,2024-04-18,YYC-NW,8,0.26,115.9,2024-04-18,2024-10-16,Calgary NW,False,5,214.42,42.88,8,True,Rude Staff,4.13
7,2019-11-17,YYC-SE,18,0.18,266.92,2019-11-17,2022-03-16,Calgary SE,False,73,1843.39,25.25,15,True,Damaged Book,3.51
8,2019-06-23,YYC-NW,5,0.2,355.06,2019-06-23,2022-10-27,Calgary NW,False,24,695.07,28.96,4,False,None,3.88
9,2021-03-22,YYC-NW,15,0.34,142.81,2021-03-22,2022-06-07,Calgary NW,False,43,2937.53,68.31,9,True,Damaged Book,3.71
10,2020-02-17,YYC-DT,14,0.2,150.97,2020-02-17,2021-12-12,Calgary Downtown,False,56,4013.58,71.67,16,True,Website Issue,3.98
11,2022-07-06,YYC-NW,5,0.24,88.16,2022-07-06,2024-05-14,Calgary NW,True,12,468.7,39.06,5,True,Rude Staff,4.46
12,2024-12-04,YYC-NW,4,0.08,244.97,2024-12-04,2024-04-13,Calgary NW,False,1,26.54,26.54,4,False,None,4.18
13,2022-10-29,YYC-DT,18,0.2,257.67,2022-10-29,2023-02-15,Calgary Downtown,False,42,2410.63,57.4,9,True,Late Delivery,3.44
14,2020-03-26,YYC-DT,18,0.31,291.2,2020-03-26,2021-04-13,Calgary Downtown,False,65,5373.65,82.67,21,True,Damaged Book,3.12
15,2019-03-09,YYC-DT,7,0.15,63.1,2019-03-09,2020-03-08,Calgary Downtown,True,37,1982.19,53.57,7,True,Website Issue,4.15
16,2021-09-06,YYC-DT,3,0.32,72.62,2021-09-06,2024-12-01,Calgary Downtown,False,8,497.16,62.14,3,False,None,4.43
