customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating
1405,,YYC-SE,16.0,0.0,256.0,,2023-08-29,CALGARY SE,,76.0,6851.62,89.12,15.0,FALSE,none,3.8
6892,2023-02-25,yyc-dt,9.0,3.25,94.82,2023/02/25,2024-04-12,Calgary Downtown  ,FALSE,,908.0,64.92,8.0,FALSE,NONE,
7461,2022-08-22,yyc-nw,10.0,4.26,28.45,2022-08-22,2023/08/13,calgary nw,TRUE,25.0,2300.92,90.15,14.0,0,None,4.9
9324,2023-12-10,YYC-dt,,0.0,201.0,2023-12-10,2024-10-23,Calg Downtown,No,11.0,906.38,91.43,13.0,TRUE,,3.3
6675,2024-11-27,YYC NW,8.0,0.0,467.25,2024-11-27,2024-01-01,Calgary Nw,FALSE,2.0,46.82,46.76,5.0,No,NONE,3.5
10600,2020-05-24,YYC-DT,12.0,0.0,152.21,2020-05-24,2020-10-16,calgary downtown,False,40.0,2966.71,77.88,12.0,Y,RudeStaff,2.9
271,,YYC-dt,19.0,2.28,92.57,2023-05-28,2024-07-10,Calg Downtown,0,31.0,2839.03,92.0,23.0,0,None,4.2
9953,2023-12-16,YYC-nw,8.0,,47.86,2023/12/16,2024-08-29,Calgary NW  ,FALSE,,531.07,75.24,10.0,True,,3.7
9220,2020-05-20,YYC-DT ,13.0,,44.49,2020-05-20,2024/05/03,CALGARY DOWNTOWN,N,64.0,3780.97,122.85,14.0,N,None,4.3
2939,2022-04-03,ONLINE,10.0,1.72,126.39,,2023/08/28,online,No,,2216.76,83.05,9.0,False,None,
8064,2024/05/05,YYC-DT,15.0,0.0,321.72,2024-05-05,,Calgary Downtown,False,8.0,360.93,42.33,8.0,FALSE,NONE,3.3
2148,2021-02-18,YYC-SE,,0.66,225.18,2021-02-18,2023-09-14,Calgary SE,False,52.0,3490.73,67.05,11.0,0,None,
9662,2022-09-02,YYC-dt,11.0,2.12,165.45,2022-09-02,2023-02-12,Calgary Downtown,N,23.0,1871.33,79.47,11.0,False,None,4.6
249,2023/10/20,YYC-DT,10.0,0.0,67.93,2023-10-20,2024-10-02,Calgary Downtown,FALSE,14.0,791.94,53.26,11.0,N,none,4.0
8807,2024-09-15,YYC-DT,4.0,0.0,91.59,2024-09-15,2024-09-17,Calgary Downtown,N,1.0,,30.93,6.0,0,None,3.9
5482,2021-04-23,YYC-NW,3.0,0.48,164.41,2021-04-23,2021/08/08,Calgary Nw,Y,7.0,,30.95,1.0,0,none,4.7
6064,,YYC-NW,10.0,0.0,139.8,2019/01/29,2021-07-09,CALGARY NW,False,62.0,4953.1,81.35,5.0,No,,3.3
3119,,YYC-NW,9.0,1.28,167.73,2024-08-28,2024/12/20,calgary nw,Y,5.0,127.52,64.64,8.0,FALSE,None,4.4
3932,,yyc-dt,10.0,,120.1,2019/06/05,2021-06-05,calgary downtown,FALSE,52.0,3282.34,60.07,7.0,True,Late Delivery,3.8
448,2023-10-25,YYC-DT,11.0,1.06,49.0,2023-10-25,2024-12-28,calgary downtown,Y,14.0,353.36,23.94,13.0,0,None,5.1
9354,2021-06-29,yyc-dt,18.0,0.0,157.54,2021-06-29,2022-05-30,calgary downtown,N,42.0,2514.99,56.47,14.0,,NONE,4.3
2437,2020-01-10,YYC-SE,19.0,,32.76,,2024/10/24,Calg SE,TRUE,89.0,3819.71,43.93,16.0,,None,5.2
6215,2024/10/03,YYC-DT,11.0,1.33,116.35,2024-10-03,2024-04-10,Calgary Downtown  ,No,3.0,120.95,42.77,15.0,FALSE,None,4.6
9537,2022-07-08,YYC NW,11.0,0.76,226.96,2022/07/08,2023-08-08,calgary nw,0,15.0,779.46,45.42,4.0,N,,5.7
8489,2024-10-05,YYC NW,11.0,0.04,120.57,2024-10-05,2024-11-27,CALGARY NW,0,3.0,194.65,68.19,6.0,,NONE,3.9
11225,2022-04-16,YYC-DT,17.0,,94.71,2022/04/16,2023-04-08,Calgary Downtown,No,35.0,1279.9,35.1,12.0,0,none,3.5
3589,2022-03-04,yyc-dt,6.0,0.0,267.45,2022-03-04,2023-03-05,Calgary Downtown,True,10.0,842.32,89.89,6.0,False,None ,4.3
4613,2021-02-07,YYC-DT,4.0,0.0,42.52,2021-02-07,2024/09/25,Calgary Downtown,False,6.0,,50.05,1.0,TRUE,billing error,4.1
7395,2019/08/30,YYC-dt,7.0,0.9,158.05,2019-08-30,2021-08-22,CALGARY DOWNTOWN,0,33.0,1392.23,,7.0,TRUE,WebsiteIssue,3.8
6710,2019/01/03,YYC-DT,2.0,4.06,176.54,2019/01/03,2020-03-08,Calgary Downtown  ,FALSE,9.0,278.7,28.37,3.0,False,None ,3.6
5724,2024-09-06,ONLINE,11.0,,323.28,2024-09-06,2024-07-23,Online,No,2.0,,,10.0,1,Late Delivery,3.5
8972,2021-05-03,YYC-DT,,0.0,408.44,2021-05-03,2024/08/23,Calgary Downtown  ,False,35.0,2501.35,68.54,16.0,TRUE,None,4.2
204,2021-05-03,YYC-DT ,3.0,0.44,125.04,2021-05-03,2022/06/12,calgary downtown,Y,8.0,323.47,29.29,2.0,No,None,5.0
9378,2021-02-28,YYC-DT,9.0,3.05,101.63,2021/02/28,2023-07-21,Calgary Downtown,False,29.0,1623.77,58.91,12.0,FALSE,None ,4.2
3211,2021-03-21,ONLINE,21.0,,63.73,2021-03-21,2022-09-01,Online,No,56.0,3797.41,70.8,10.0,0,None,4.3
2703,2023-08-06,YYC-DT ,5.0,0.6,156.83,2023-08-06,2024/01/14,Calgary Downtown  ,1,5.0,396.27,78.58,4.0,,,4.5
4209,2024-07-24,YYC-NW,10.0,0.38,31.67,2024-07-24,2024/12/21,Calgary NW,,5.0,260.59,122.68,5.0,False,None,3.2
5974,2023/08/08,YYC-NW,11.0,1.77,128.06,2023-08-08,2024-01-24,Calgary NW  ,0,16.0,684.97,42.18,10.0,No,,4.5
4538,2020-01-12,YYC-NW ,15.0,4.29,101.39,2020-01-12,2021-01-16,Calg NW,Y,71.0,5959.93,86.69,7.0,TRUE,Late Delivery,4.8
1299,2024/01/04,YYC DT,14.0,1.78,232.39,2024-01-04,2024-06-27,Calgary Downtown,TRUE,9.0,436.8,49.58,14.0,No,,5.0
3119,,YYC-NW,9.0,1.28,167.73,2024-08-28,2024/12/20,calgary nw,Y,5.0,127.52,64.64,8.0,FALSE,None,4.4
2685,2022/09/06,ONLINE,8.0,2.77,355.27,2022-09-06,2024-04-13,ONLINE,N,16.0,1480.08,91.54,7.0,True,,3.3
9416,,YYC-SE ,10.0,0.0,239.11,2024-12-10,2024/03/16,Calg SE,No,2.0,94.8,32.06,9.0,Y,,4.2
3749,2022-01-01,ONLINE,7.0,0.76,117.63,2022/01/01,2024-08-06,Online,FALSE,24.0,634.98,25.33,10.0,No,None,4.1
3434,2021-02-01,ONLINE,10.0,0.0,190.53,2021-02-01,,ONLINE,,33.0,2740.8,80.95,10.0,0,,4.1
8253,2021-05-27,YYC-DT,4.0,0.72,142.88,2021-05-27,2022-03-01,Calgary Downtown  ,,19.0,515.96,25.56,6.0,False,,
4308,2019/02/21,YYC NW,9.0,1.34,33.02,2019-02-21,2024-05-26,Calgary Nw,True,51.0,2934.51,52.66,11.0,False,None ,3.9
9282,2021-10-06,YYC-NW,18.0,0.71,190.21,2021-10-06,2022-04-26,Calgary NW  ,0,,1502.92,32.65,13.0,False,,4.1
9035,,online,19.0,2.62,81.47,2021-11-25,,Online,,44.0,2154.64,48.06,,Y,,3.6
3859,2024-11-16,yyc-nw,17.0,2.94,201.65,2024-11-16,2024-02-26,Calgary Nw,No,6.0,,35.59,10.0,N,None,
882,2023-10-30,YYC-NW,12.0,0.0,78.78,2023/10/30,,Calg NW,N,17.0,1237.95,86.65,15.0,1,,3.5
10597,2022-04-06,YYC DT,11.0,0.0,209.29,2022-04-06,2024-07-28,Calgary Downtown  ,No,19.0,1360.74,114.5,8.0,FALSE,NONE,0.5
3997,2023-01-26,YYC-DT ,16.0,0.0,62.41,2023-01-26,2024/05/15,calgary downtown,TRUE,22.0,1712.75,74.92,16.0,1,,4.3
3611,2024-02-27,YYC-DT,16.0,1.43,107.61,2024-02-27,2024/07/05,Calgary Downtown,No,10.0,311.05,30.16,10.0,False,,
10883,2020-05-27,YYC-NW ,4.0,0.81,69.44,2020/05/27,2024/03/02,Calgary Nw,0,10.0,830.56,76.94,4.0,FALSE,None,4.1
4868,2019-06-23,ONLINE,0.0,0.0,149.22,2019-06-23,,Online,True,10.0,449.94,49.02,1.0,N,,4.5
9569,2022/10/30,YYC-NW,3.0,0.0,106.74,2022/10/30,,Calgary NW,Yes,6.0,472.96,98.01,,True,WebsiteIssue,3.6
10334,2019/11/28,ONLINE,13.0,0.13,90.49,2019/11/28,2023-04-19,Online  ,N,45.0,4245.03,91.41,10.0,N,,3.3
8292,2024-09-30,YYC-DT,14.0,0.0,66.77,,2024-07-06,Calgary Downtown  ,N,,260.37,49.78,15.0,TRUE,Late Delivery,3.7
4600,2019-08-27,yyc-se,6.0,0.65,171.44,2019-08-27,2021-06-03,Calg SE,0,34.0,2276.31,72.77,6.0,True,BillingError,3.9
6271,2024/03/02,YYC-NW,,1.36,100.44,2024/03/02,2024-12-29,calgary nw,TRUE,12.0,646.62,59.43,8.0,Y,Billing Error,3.7
8058,2020-10-03,YYC-dt,6.0,3.13,272.49,2020-10-03,2022-04-08,calgary downtown,0,25.0,762.12,27.77,4.0,Yes,DAMAGED BOOK,3.1
5010,2022-03-09,YYC-dt,11.0,1.85,58.6,2022/03/09,2023-01-12,Calg Downtown,No,32.0,2750.4,84.46,14.0,Y,Website Issue,3.9
2474,2022-05-05,YYC-DT,11.0,0.0,243.0,2022/05/05,2022-08-04,Calgary Downtown,N,28.0,790.02,30.3,10.0,No,none,3.7
6013,2021-07-21,YYC-DT,6.0,3.06,231.75,2021-07-21,2024/04/25,Calg Downtown,0,23.0,2123.18,91.62,6.0,FALSE,,4.3
4525,2024-11-06,yyc-nw,16.0,0.48,152.59,2024-11-06,2024/06/12,Calg NW,N,3.0,286.91,69.38,15.0,TRUE,None,3.5
1641,2023-01-18,YYC-SE,13.0,0.0,109.16,2023-01-18,2024-10-13,CALGARY SE,0,27.0,2319.88,94.0,19.0,False,None,
2195,,YYC-SE,9.0,0.0,128.11,,2024-11-22,Calgary SE,Y,,671.39,84.03,5.0,FALSE,NONE,6.0
9868,2024-11-10,YYC-NW,8.0,0.0,224.43,2024-11-10,2024-10-21,Calgary NW,FALSE,1.0,150.84,78.26,12.0,False,None,4.3
9275,2023-02-15,YYC-SE ,9.0,0.0,137.13,2023/02/15,2023/09/02,Calgary SE  ,0,13.0,631.74,48.95,8.0,Y,Late Delivery ,2.9
5697,2019-08-04,yyc-nw,10.0,0.5,297.42,2019/08/04,2024/03/17,Calg NW,0,49.0,,,12.0,True,,3.8
7680,2020-07-21,YYC DT,10.0,0.0,237.82,2020-07-21,2023/11/21,Calgary Downtown  ,Y,27.0,1544.77,53.74,5.0,TRUE,Rude Staff ,3.9
1679,2021/09/12,YYC SE,,1.8,177.7,2021/09/12,2024-06-23,Calgary SE  ,0,19.0,,27.35,7.0,0,None ,
6412,2019-10-16,YYC-DT,15.0,1.18,50.89,2019/10/16,2024/07/31,calgary downtown,No,67.0,4807.22,67.95,8.0,False,None ,4.0
8571,2023-04-13,YYC SE,16.0,0.72,88.29,2023-04-13,2023/09/13,Calgary Se,TRUE,27.0,1559.04,59.4,15.0,False,None,4.1
4559,2020-11-01,YYC-DT,14.0,0.93,148.16,2020-11-01,2022-05-09,calgary downtown,,46.0,3382.46,77.52,7.0,FALSE,NONE,4.3
4623,2023/08/20,online,18.0,0.0,267.79,2023-08-20,2024-01-28,Online,Y,24.0,1292.25,57.82,12.0,0,none,4.8
3806,2023-01-08,YYC-DT,7.0,0.0,142.38,2023-01-08,,Calgary Downtown,0,17.0,1438.78,88.51,10.0,N,None,3.4
9468,2019/06/05,YYC-DT,17.0,0.0,243.6,2019/06/05,2022-03-12,Calgary Downtown  ,No,91.0,5241.16,59.7,18.0,FALSE,None ,3.8
10629,2019-12-21,YYC-DT ,,3.03,88.38,2019-12-21,2023/07/12,Calgary Downtown  ,N,31.0,809.97,24.43,8.0,No,none,3.8
167,2019-05-21,YYC-se,11.0,0.78,74.09,2019-05-21,2022-05-18,Calgary SE,Yes,44.0,3378.04,78.85,10.0,0,,4.6
1769,2021-10-03,YYC-SE,8.0,0.0,201.0,2021/10/03,2024/07/24,Calgary SE  ,Yes,27.0,1538.17,56.46,5.0,N,NONE,
2104,2021-10-30,YYC-DT,,3.26,157.77,2021-10-30,2024/12/15,Calgary Downtown,No,,805.55,36.34,7.0,FALSE,,
5690,2020/05/25,YYC-DT,16.0,0.61,103.83,2020-05-25,2024/11/23,Calgary Downtown  ,N,76.0,,74.98,16.0,False,,4.1
406,,YYC NW,6.0,2.88,330.53,2022/11/27,2024-02-10,Calgary NW,Y,9.0,305.36,82.56,6.0,No,None,4.8
9777,2024-06-28,YYC-se,13.0,2.53,138.72,,2024-09-29,Calgary Se,1,7.0,342.78,54.96,9.0,False,,
10438,2022/03/07,YYC-NW ,14.0,0.0,120.91,2022/03/07,2024-06-26,CALGARY NW,,30.0,2157.08,69.53,10.0,,None,4.2
7142,2022-02-01,YYC-NW,16.0,0.0,92.04,2022/02/01,2024-08-30,calgary nw,N,39.0,2754.01,76.4,14.0,Y,DamagedBook,
10733,2021/04/06,YYC-NW,16.0,,181.7,2021/04/06,2023-10-02,Calgary NW,FALSE,40.0,2420.03,39.68,,FALSE,None,4.2
9828,2022-12-25,YYC NW,13.0,0.0,261.84,2022/12/25,2024/10/24,calgary nw,False,26.0,1494.88,56.23,13.0,FALSE,None,
5046,,yyc-dt,1.0,0.0,35.13,2020-09-16,2021-11-19,CALGARY DOWNTOWN,N,13.0,,27.62,,1,Billing Error,3.8
5149,2022/07/19,YYC NW,2.0,1.01,237.79,2022-07-19,2023-11-06,CALGARY NW,FALSE,9.0,211.95,,3.0,No,None,3.3
889,,ONLINE,11.0,1.44,168.15,2019-07-22,2023-09-21,Online  ,True,52.0,3073.28,57.81,9.0,FALSE,,4.3
119,2022/10/06,YYC-SE,8.0,0.0,130.25,2022-10-06,2024/10/05,Calgary SE,,15.0,586.4,41.46,5.0,False,,
7007,2022-07-09,YYC-NW ,20.0,0.46,114.95,2022-07-09,2024/09/21,calgary nw,False,39.0,3248.12,82.12,10.0,False,NONE,4.5
3326,2022-07-20,yyc-se,10.0,1.62,74.71,2022/07/20,2024/11/24,Calgary SE  ,No,24.0,745.98,32.85,,FALSE,None,4.0
5104,2023-01-24,YYC-nw,16.0,1.3,211.26,2023-01-24,2024-09-20,Calgary Nw,N,28.0,2237.12,78.14,15.0,,None,3.0
4178,2024-10-03,YYC-DT,5.0,0.0,46.72,2024/10/03,,Calgary Downtown,No,1.0,27.9,29.98,9.0,No,None,4.2
3309,2021/06/09,YYC-DT,,0.0,120.45,2021-06-09,2022-01-25,Calgary Downtown  ,FALSE,,2311.79,67.47,10.0,,none,
8006,2021-11-29,YYC-DT,11.0,0.0,133.73,2021/11/29,2022-06-19,Calgary Downtown,No,41.0,2089.4,48.48,9.0,No,none,4.2
1487,,YYC-DT,16.0,0.19,474.29,2021/12/14,2023-03-14,Calgary Downtown  ,No,40.0,3717.43,93.31,13.0,No,None,4.3
9314,2024-10-29,YYC-DT,11.0,,24.31,2024/10/29,2024-02-18,Calgary Downtown,0,0.0,,,9.0,True,None,3.5
732,2019-05-02,yyc-dt,8.0,1.81,121.0,2019/05/02,2020-12-18,Calgary Downtown,FALSE,50.0,,69.05,6.0,,None ,3.9
9645,2023-07-31,YYC-SE,7.0,1.02,521.24,2023-07-31,2024-10-31,calgary se,False,9.0,621.14,60.3,5.0,False,None,3.9
7162,2021-08-15,YYC-NW ,16.0,0.74,131.29,2021-08-15,2022-02-07,CALGARY NW,No,55.0,4110.42,74.8,10.0,No,NONE,2.6
6571,2020-06-29,yyc-se,8.0,0.0,340.61,2020-06-29,2023/04/28,Calgary Se,True,23.0,974.07,40.81,4.0,FALSE,,4.6
4964,2020-06-05,YYC-SE,14.0,,182.14,2020/06/05,2022-05-04,Calgary SE,No,54.0,3314.13,62.66,16.0,0,None,3.9
7401,,YYC DT,5.0,0.0,42.35,2024-08-11,,Calgary Downtown,,3.0,122.58,,3.0,No,None ,3.5
11744,2021/04/16,YYC-DT,2.0,,136.47,2021/04/16,2023-02-03,Calgary Downtown  ,Y,7.0,442.3,62.76,2.0,TRUE,,4.9
10155,2021-07-23,yyc-dt,5.0,0.57,63.37,2021-07-23,,Calgary Downtown,Y,,442.33,29.48,2.0,0,,4.3
7134,2022-07-21,YYC-DT,8.0,0.85,52.7,2022-07-21,2024-09-10,Calg Downtown,True,17.0,1444.7,84.17,7.0,FALSE,,4.3
6326,2023-05-22,YYC-SE,10.0,0.0,68.67,2023-05-22,2024-08-08,calgary se,0,12.0,,34.12,10.0,N,None,4.3
3933,2023-09-26,YYC-NW,16.0,0.0,24.03,2023-09-26,2024/01/27,Calg NW,False,,,82.5,9.0,False,none,
8428,2023/12/31,YYC-DT,20.0,1.08,413.34,2023-12-31,2024-04-26,Calg Downtown,0,14.0,1201.02,93.75,18.0,Y,Damaged Book,3.3
2358,2019-03-08,YYC-NW ,13.0,0.4,363.03,2019/03/08,,Calgary Nw,Y,58.0,3286.65,53.42,14.0,0,None ,4.4
5026,2022-08-15,YYC-SE,14.0,0.0,205.89,2022-08-15,2024-08-31,Calgary SE  ,0,30.0,2796.72,92.39,9.0,False,NONE,3.6
1237,2024/05/30,YYC-SE ,7.0,3.15,80.59,2024-05-30,2024/11/19,Calgary SE,FALSE,6.0,191.75,51.54,8.0,No,None ,4.4
5036,2023-07-09,YYC-DT ,18.0,2.3,225.42,2023/07/09,2024/01/06,Calgary Downtown  ,False,28.0,1095.11,41.3,17.0,N,None,
6733,,YYC-SE,,1.98,219.74,2024-07-05,2024/11/17,Calgary SE,No,1.0,74.74,37.79,,FALSE,none,4.6
