date,year,month,store_id,channel,transactions,revenue,gst_collected,net_revenue,dataset
2019-01-01,2019,1,YYC-DT,IN_STORE,64,1985.46,99.27,1886.19,bookstore_sales
2019-01-01,2019,1,YYC-DT,ONLINE,8,207.72,10.39,197.33,bookstore_sales
2019-01-01,2019,1,YYC-NW,IN_STORE,49,1466.95,73.35,1393.6,bookstore_sales
2019-01-01,2019,1,YYC-NW,ONLINE,4,148.89,7.44,141.45,bookstore_sales
2019-01-01,2019,1,YYC-SE,IN_STORE,33,1272.7,63.64,1209.06,bookstore_sales
2019-01-01,2019,1,YYC-SE,ONLINE,4,96.35,4.82,91.53,bookstore_sales
2019-01-02,2019,1,YYC-DT,IN_STORE,53,1965.86,98.29,1867.57,bookstore_sales
2019-01-02,2019,1,YYC-DT,ONLINE,9,227.74,11.39,216.35,bookstore_sales
2019-01-02,2019,1,YYC-NW,IN_STORE,34,1501.1,75.05,1426.05,bookstore_sales
2019-01-02,2019,1,YYC-NW,ONLINE,4,125.14,6.26,118.88,bookstore_sales
2019-01-02,2019,1,YYC-SE,IN_STORE,31,1079.71,53.99,1025.72,bookstore_sales
2019-01-02,2019,1,YYC-SE,ONLINE,4,137.5,6.88,130.62,bookstore_sales
2019-01-03,2019,1,YYC-DT,IN_STORE,50,2025.16,101.26,1923.9,bookstore_sales
2019-01-03,2019,1,YYC-DT,ONLINE,8,196.46,9.82,186.64,bookstore_sales
2019-01-03,2019,1,YYC-NW,IN_STORE,47,1534.1,76.7,1457.4,bookstore_sales
2019-01-03,2019,1,YYC-NW,ONLINE,4,159.91,8.0,151.91,bookstore_sales
2019-01-03,2019,1,YYC-SE,IN_STORE,35,1248.54,62.43,1186.11,bookstore_sales
2019-01-03,2019,1,YYC-SE,ONLINE,4,124.18,6.21,117.97,bookstore_sales
2019-01-04,2019,1,YYC-DT,IN_STORE,75,2282.87,114.14,2168.73,bookstore_sales
2019-01-04,2019,1,YYC-DT,ONLINE,8,223.62,11.18,212.44,bookstore_sales
2019-01-04,2019,1,YYC-NW,IN_STORE,57,1461.09,73.05,1388.04,bookstore_sales
2019-01-04,2019,1,YYC-NW,ONLINE,5,158.05,7.9,150.15,bookstore_sales
2019-01-04,2019,1,YYC-SE,IN_STORE,40,1260.03,63.0,1197.03,bookstore_sales
2019-01-04,2019,1,YYC-SE,ONLINE,3,127.83,6.39,121.44,bookstore_sales
2019-01-05,2019,1,YYC-DT,IN_STORE,71,2164.07,108.2,2055.87,bookstore_sales
2019-01-05,2019,1,YYC-DT,ONLINE,6,242.88,12.14,230.74,bookstore_sales
2019-01-05,2019,1,YYC-NW,IN_STORE,37,1455.7,72.79,1382.91,bookstore_sales
2019-01-05,2019,1,YYC-NW,ONLINE,5,145.42,7.27,138.15,bookstore_sales
2019-01-05,2019,1,YYC-SE,IN_STORE,44,1308.44,65.42,1243.02,bookstore_sales
2019-01-05,2019,1,YYC-SE,ONLINE,3,104.79,5.24,99.55,bookstore_sales
2019-01-06,2019,1,YYC-DT,IN_STORE,53,2191.3,109.57,2081.73,bookstore_sales
2019-01-06,2019,1,YYC-DT,ONLINE,6,218.17,10.91,207.26,bookstore_sales
2019-01-06,2019,1,YYC-NW,IN_STORE,39,1476.0,73.8,1402.2,bookstore_sales
2019-01-06,2019,1,YYC-NW,ONLINE,4,135.26,6.76,128.5,bookstore_sales
2019-01-06,2019,1,YYC-SE,IN_STORE,32,1252.72,62.64,1190.08,bookstore_sales
2019-01-06,2019,1,YYC-SE,ONLINE,4,112.29,5.61,106.68,bookstore_sales
2019-01-07,2019,1,YYC-DT,IN_STORE,59,2234.16,111.71,2122.45,bookstore_sales
2019-01-07,2019,1,YYC-DT,ONLINE,9,212.49,10.62,201.87,bookstore_sales
2019-01-07,2019,1,YYC-NW,IN_STORE,52,1563.8,78.19,1485.61,bookstore_sales
2019-01-07,2019,1,YYC-NW,ONLINE,5,164.57,8.23,156.34,bookstore_sales
2019-01-07,2019,1,YYC-SE,IN_STORE,42,1432.78,71.64,1361.14,bookstore_sales
2019-01-07,2019,1,YYC-SE,ONLINE,4,141.74,7.09,134.65,bookstore_sales
2019-01-08,2019,1,YYC-DT,IN_STORE,57,1995.71,99.79,1895.92,bookstore_sales
2019-01-08,2019,1,YYC-DT,ONLINE,6,220.19,11.01,209.18,bookstore_sales
2019-01-08,2019,1,YYC-NW,IN_STORE,41,1527.31,76.37,1450.94,bookstore_sales
2019-01-08,2019,1,YYC-NW,ONLINE,5,151.12,7.56,143.56,bookstore_sales
2019-01-08,2019,1,YYC-SE,IN_STORE,47,1223.31,61.17,1162.14,bookstore_sales
2019-01-08,2019,1,YYC-SE,ONLINE,4,142.28,7.11,135.17,bookstore_sales
2019-01-09,2019,1,YYC-DT,IN_STORE,62,1935.25,96.76,1838.49,bookstore_sales
2019-01-09,2019,1,YYC-DT,ONLINE,7,223.1,11.16,211.94,bookstore_sales
2019-01-09,2019,1,YYC-NW,IN_STORE,45,1442.98,72.15,1370.83,bookstore_sales
2019-01-09,2019,1,YYC-NW,ONLINE,4,163.8,8.19,155.61,bookstore_sales
2019-01-09,2019,1,YYC-SE,IN_STORE,30,1185.29,59.26,1126.03,bookstore_sales
2019-01-09,2019,1,YYC-SE,ONLINE,3,108.45,5.42,103.03,bookstore_sales
2019-01-10,2019,1,YYC-DT,IN_STORE,82,2041.94,102.1,1939.84,bookstore_sales
2019-01-10,2019,1,YYC-DT,ONLINE,7,254.4,12.72,241.68,bookstore_sales
2019-01-10,2019,1,YYC-NW,IN_STORE,39,1338.93,66.95,1271.98,bookstore_sales
2019-01-10,2019,1,YYC-NW,ONLINE,5,132.87,6.64,126.23,bookstore_sales
2019-01-10,2019,1,YYC-SE,IN_STORE,42,1248.73,62.44,1186.29,bookstore_sales
2019-01-10,2019,1,YYC-SE,ONLINE,4,131.05,6.55,124.5,bookstore_sales
2019-01-11,2019,1,YYC-DT,IN_STORE,80,1991.63,99.58,1892.05,bookstore_sales
2019-01-11,2019,1,YYC-DT,ONLINE,8,242.23,12.11,230.12,bookstore_sales
2019-01-11,2019,1,YYC-NW,IN_STORE,55,1419.9,71.0,1348.9,bookstore_sales
2019-01-11,2019,1,YYC-NW,ONLINE,5,104.83,5.24,99.59,bookstore_sales
2019-01-11,2019,1,YYC-SE,IN_STORE,29,1174.61,58.73,1115.88,bookstore_sales
2019-01-11,2019,1,YYC-SE,ONLINE,3,145.64,7.28,138.36,bookstore_sales
2019-01-12,2019,1,YYC-DT,IN_STORE,74,2176.5,108.82,2067.68,bookstore_sales
2019-01-12,2019,1,YYC-DT,ONLINE,5,230.6,11.53,219.07,bookstore_sales
2019-01-12,2019,1,YYC-NW,IN_STORE,39,1491.03,74.55,1416.48,bookstore_sales
2019-01-12,2019,1,YYC-NW,ONLINE,5,170.93,8.55,162.38,bookstore_sales
2019-01-12,2019,1,YYC-SE,IN_STORE,31,1271.03,63.55,1207.48,bookstore_sales
2019-01-12,2019,1,YYC-SE,ONLINE,3,85.43,4.27,81.16,bookstore_sales
2019-01-13,2019,1,YYC-DT,IN_STORE,77,2130.89,106.54,2024.35,bookstore_sales
2019-01-13,2019,1,YYC-DT,ONLINE,8,254.56,12.73,241.83,bookstore_sales
2019-01-13,2019,1,YYC-NW,IN_STORE,44,1585.7,79.29,1506.41,bookstore_sales
2019-01-13,2019,1,YYC-NW,ONLINE,4,148.43,7.42,141.01,bookstore_sales
2019-01-13,2019,1,YYC-SE,IN_STORE,41,1322.28,66.11,1256.17,bookstore_sales
2019-01-13,2019,1,YYC-SE,ONLINE,3,115.67,5.78,109.89,bookstore_sales
2019-01-14,2019,1,YYC-DT,IN_STORE,70,1818.85,90.94,1727.91,bookstore_sales
2019-01-14,2019,1,YYC-DT,ONLINE,5,171.32,8.57,162.75,bookstore_sales
2019-01-14,2019,1,YYC-NW,IN_STORE,53,1318.64,65.93,1252.71,bookstore_sales
2019-01-14,2019,1,YYC-NW,ONLINE,5,131.62,6.58,125.04,bookstore_sales
2019-01-14,2019,1,YYC-SE,IN_STORE,40,1140.03,57.0,1083.03,bookstore_sales
2019-01-14,2019,1,YYC-SE,ONLINE,3,115.4,5.77,109.63,bookstore_sales
2019-01-15,2019,1,YYC-DT,IN_STORE,52,1845.49,92.27,1753.22,bookstore_sales
2019-01-15,2019,1,YYC-DT,ONLINE,5,172.15,8.61,163.54,bookstore_sales
2019-01-15,2019,1,YYC-NW,IN_STORE,44,1354.64,67.73,1286.91,bookstore_sales
2019-01-15,2019,1,YYC-NW,ONLINE,4,154.62,7.73,146.89,bookstore_sales
2019-01-15,2019,1,YYC-SE,IN_STORE,43,1072.77,53.64,1019.13,bookstore_sales
2019-01-15,2019,1,YYC-SE,ONLINE,3,142.42,7.12,135.3,bookstore_sales
