date,store_id,channel,transactions,revenue,gst_collected,net_revenue,year,month
2019-01-01,YYC-DT,IN_STORE,64,1985,99.27,1886,2019,1
2019-01-01,YYC-DT,ONLINE,8,207,10.39,197,2019,1
2019-01-01,YYC-NW,IN_STORE,49,1466,73.35,1393,2019,1
2019-01-01,YYC-NW,ONLINE,4,148,7.44,141,2019,1
2019-01-01,YYC-SE,IN_STORE,33,1272,63.64,1209,2019,1
2019-01-01,YYC-SE,ONLINE,4,96,4.82,91,2019,1
2019-01-02,YYC-DT,IN_STORE,53,1965,98.29,1867,2019,1
2019-01-02,YYC-DT,ONLINE,9,227,11.39,216,2019,1
2019-01-02,YYC-NW,IN_STORE,34,1501,75.05,1426,2019,1
2019-01-02,YYC-NW,ONLINE,4,125,6.26,118,2019,1
2019-01-02,YYC-SE,IN_STORE,31,1079,53.99,1025,2019,1
2019-01-02,YYC-SE,ONLINE,4,137,6.88,130,2019,1
2019-01-03,YYC-DT,IN_STORE,50,2025,101.26,1923,2019,1
2019-01-03,YYC-DT,ONLINE,8,196,9.82,186,2019,1
2019-01-03,YYC-NW,IN_STORE,47,1534,76.7,1457,2019,1
2019-01-03,YYC-NW,ONLINE,4,159,8.0,151,2019,1
2019-01-03,YYC-SE,IN_STORE,35,1248,62.43,1186,2019,1
2019-01-03,YYC-SE,ONLINE,4,124,6.21,117,2019,1
2019-01-04,YYC-DT,IN_STORE,75,2282,114.14,2168,2019,1
2019-01-04,YYC-DT,ONLINE,8,223,11.18,212,2019,1
2019-01-04,YYC-NW,IN_STORE,57,1461,73.05,1388,2019,1
2019-01-04,YYC-NW,ONLINE,5,158,7.9,150,2019,1
2019-01-04,YYC-SE,IN_STORE,40,1260,63.0,1197,2019,1
2019-01-04,YYC-SE,ONLINE,3,127,6.39,121,2019,1
2019-01-05,YYC-DT,IN_STORE,71,2164,108.2,2055,2019,1
2019-01-05,YYC-DT,ONLINE,6,242,12.14,230,2019,1
2019-01-05,YYC-NW,IN_STORE,37,1455,72.79,1382,2019,1
2019-01-05,YYC-NW,ONLINE,5,145,7.27,138,2019,1
2019-01-05,YYC-SE,IN_STORE,44,1308,65.42,1243,2019,1
2019-01-05,YYC-SE,ONLINE,3,104,5.24,99,2019,1
2019-01-06,YYC-DT,IN_STORE,53,2191,109.57,2081,2019,1
2019-01-06,YYC-DT,ONLINE,6,218,10.91,207,2019,1
2019-01-06,YYC-NW,IN_STORE,39,1476,73.8,1402,2019,1
2019-01-06,YYC-NW,ONLINE,4,135,6.76,128,2019,1
2019-01-06,YYC-SE,IN_STORE,32,1252,62.64,1190,2019,1
2019-01-06,YYC-SE,ONLINE,4,112,5.61,106,2019,1
2019-01-07,YYC-DT,IN_STORE,59,2234,111.71,2122,2019,1
2019-01-07,YYC-DT,ONLINE,9,212,10.62,201,2019,1
2019-01-07,YYC-NW,IN_STORE,52,1563,78.19,1485,2019,1
2019-01-07,YYC-NW,ONLINE,5,164,8.23,156,2019,1
2019-01-07,YYC-SE,IN_STORE,42,1432,71.64,1361,2019,1
2019-01-07,YYC-SE,ONLINE,4,141,7.09,134,2019,1
2019-01-08,YYC-DT,IN_STORE,57,1995,99.79,1895,2019,1
2019-01-08,YYC-DT,ONLINE,6,220,11.01,209,2019,1
2019-01-08,YYC-NW,IN_STORE,41,1527,76.37,1450,2019,1
2019-01-08,YYC-NW,ONLINE,5,151,7.56,143,2019,1
2019-01-08,YYC-SE,IN_STORE,47,1223,61.17,1162,2019,1
2019-01-08,YYC-SE,ONLINE,4,142,7.11,135,2019,1
2019-01-09,YYC-DT,IN_STORE,62,1935,96.76,1838,2019,1
2019-01-09,YYC-DT,ONLINE,7,223,11.16,211,2019,1
2019-01-09,YYC-NW,IN_STORE,45,1442,72.15,1370,2019,1
2019-01-09,YYC-NW,ONLINE,4,163,8.19,155,2019,1
2019-01-09,YYC-SE,IN_STORE,30,1185,59.26,1126,2019,1
2019-01-09,YYC-SE,ONLINE,3,108,5.42,103,2019,1
2019-01-10,YYC-DT,IN_STORE,82,2041,102.1,1939,2019,1
2019-01-10,YYC-DT,ONLINE,7,254,12.72,241,2019,1
2019-01-10,YYC-NW,IN_STORE,39,1338,66.95,1271,2019,1
2019-01-10,YYC-NW,ONLINE,5,132,6.64,126,2019,1
2019-01-10,YYC-SE,IN_STORE,42,1248,62.44,1186,2019,1
2019-01-10,YYC-SE,ONLINE,4,131,6.55,124,2019,1
2019-01-11,YYC-DT,IN_STORE,80,1991,99.58,1892,2019,1
2019-01-11,YYC-DT,ONLINE,8,242,12.11,230,2019,1
2019-01-11,YYC-NW,IN_STORE,55,1419,71.0,1348,2019,1
2019-01-11,YYC-NW,ONLINE,5,104,5.24,99,2019,1
2019-01-11,YYC-SE,IN_STORE,29,1174,58.73,1115,2019,1
2019-01-11,YYC-SE,ONLINE,3,145,7.28,138,2019,1
2019-01-12,YYC-DT,IN_STORE,74,2176,108.82,2067,2019,1
2019-01-12,YYC-DT,ONLINE,5,230,11.53,219,2019,1
2019-01-12,YYC-NW,IN_STORE,39,1491,74.55,1416,2019,1
2019-01-12,YYC-NW,ONLINE,5,170,8.55,162,2019,1
2019-01-12,YYC-SE,IN_STORE,31,1271,63.55,1207,2019,1
2019-01-12,YYC-SE,ONLINE,3,85,4.27,81,2019,1
2019-01-13,YYC-DT,IN_STORE,77,2130,106.54,2024,2019,1
2019-01-13,YYC-DT,ONLINE,8,254,12.73,241,2019,1
2019-01-13,YYC-NW,IN_STORE,44,1585,79.29,1506,2019,1
2019-01-13,YYC-NW,ONLINE,4,148,7.42,141,2019,1
2019-01-13,YYC-SE,IN_STORE,41,1322,66.11,1256,2019,1
2019-01-13,YYC-SE,ONLINE,3,115,5.78,109,2019,1
2019-01-14,YYC-DT,IN_STORE,70,1818,90.94,1727,2019,1
2019-01-14,YYC-DT,ONLINE,5,171,8.57,162,2019,1
2019-01-14,YYC-NW,IN_STORE,53,1318,65.93,1252,2019,1
2019-01-14,YYC-NW,ONLINE,5,131,6.58,125,2019,1
2019-01-14,YYC-SE,IN_STORE,40,1140,57.0,1083,2019,1
2019-01-14,YYC-SE,ONLINE,3,115,5.77,109,2019,1
2019-01-15,YYC-DT,IN_STORE,52,1845,92.27,1753,2019,1
2019-01-15,YYC-DT,ONLINE,5,172,8.61,163,2019,1
2019-01-15,YYC-NW,IN_STORE,44,1354,67.73,1286,2019,1
2019-01-15,YYC-NW,ONLINE,4,154,7.73,146,2019,1
2019-01-15,YYC-SE,IN_STORE,43,1072,53.64,1019,2019,1
2019-01-15,YYC-SE,ONLINE,3,142,7.12,135,2019,1
2019-01-16,YYC-DT,IN_STORE,48,1991,99.59,1892,2019,1
2019-01-16,YYC-DT,ONLINE,7,210,10.53,200,2019,1
2019-01-16,YYC-NW,IN_STORE,53,1352,67.63,1284,2019,1
2019-01-16,YYC-NW,ONLINE,4,165,8.26,156,2019,1
2019-01-16,YYC-SE,IN_STORE,39,1160,58.02,1102,2019,1
2019-01-16,YYC-SE,ONLINE,3,97,4.89,92,2019,1
2019-01-17,YYC-DT,IN_STORE,66,1827,91.39,1736,2019,1
2019-01-17,YYC-DT,ONLINE,5,196,9.82,186,2019,1
2019-01-17,YYC-NW,IN_STORE,36,1398,69.95,1329,2019,1
2019-01-17,YYC-NW,ONLINE,4,119,5.96,113,2019,1
2019-01-17,YYC-SE,IN_STORE,29,1149,57.5,1092,2019,1
2019-01-17,YYC-SE,ONLINE,4,106,5.35,101,2019,1
2019-01-18,YYC-DT,IN_STORE,82,1936,96.81,1839,2019,1
2019-01-18,YYC-DT,ONLINE,6,230,11.52,218,2019,1
2019-01-18,YYC-NW,IN_STORE,43,1477,73.88,1403,2019,1
2019-01-18,YYC-NW,ONLINE,5,136,6.81,129,2019,1
2019-01-18,YYC-SE,IN_STORE,45,1230,61.51,1168,2019,1
2019-01-18,YYC-SE,ONLINE,4,108,5.43,103,2019,1
2019-01-19,YYC-DT,IN_STORE,83,2102,105.1,1996,2019,1
2019-01-19,YYC-DT,ONLINE,8,231,11.55,219,2019,1
2019-01-19,YYC-NW,IN_STORE,38,1508,75.41,1432,2019,1
2019-01-19,YYC-NW,ONLINE,4,145,7.27,138,2019,1
2019-01-19,YYC-SE,IN_STORE,35,1207,60.35,1146,2019,1
2019-01-19,YYC-SE,ONLINE,4,83,4.19,79,2019,1
2019-01-20,YYC-DT,IN_STORE,49,1910,95.52,1814,2019,1
2019-01-20,YYC-DT,ONLINE,5,180,9.03,171,2019,1
2019-01-20,YYC-NW,IN_STORE,37,1345,67.28,1278,2019,1
2019-01-20,YYC-NW,ONLINE,4,133,6.68,126,2019,1
2019-01-20,YYC-SE,IN_STORE,30,1194,59.75,1135,2019,1
2019-01-20,YYC-SE,ONLINE,3,96,4.83,91,2019,1
2019-01-21,YYC-DT,IN_STORE,63,2163,108.16,2055,2019,1
2019-01-21,YYC-DT,ONLINE,7,227,11.38,216,2019,1
2019-01-21,YYC-NW,IN_STORE,42,1538,76.92,1461,2019,1
2019-01-21,YYC-NW,ONLINE,5,153,7.67,145,2019,1
2019-01-21,YYC-SE,IN_STORE,44,1356,67.85,1289,2019,1
2019-01-21,YYC-SE,ONLINE,4,127,6.37,121,2019,1
2019-01-22,YYC-DT,IN_STORE,70,1892,94.6,1797,2019,1
2019-01-22,YYC-DT,ONLINE,9,230,11.53,219,2019,1
2019-01-22,YYC-NW,IN_STORE,53,1358,67.9,1290,2019,1
2019-01-22,YYC-NW,ONLINE,4,149,7.45,141,2019,1
2019-01-22,YYC-SE,IN_STORE,35,1166,58.35,1108,2019,1
2019-01-22,YYC-SE,ONLINE,3,100,5.01,95,2019,1
2019-01-23,YYC-DT,IN_STORE,70,1860,93.03,1767,2019,1
2019-01-23,YYC-DT,ONLINE,8,204,10.21,193,2019,1
2019-01-23,YYC-NW,IN_STORE,41,1482,74.1,1407,2019,1
2019-01-23,YYC-NW,ONLINE,4,162,8.11,154,2019,1
2019-01-23,YYC-SE,IN_STORE,47,1233,61.67,1171,2019,1
2019-01-23,YYC-SE,ONLINE,3,117,5.86,111,2019,1
2019-01-24,YYC-DT,IN_STORE,62,1961,98.1,1863,2019,1
2019-01-24,YYC-DT,ONLINE,5,175,8.79,167,2019,1
2019-01-24,YYC-NW,IN_STORE,39,1309,65.47,1244,2019,1
2019-01-24,YYC-NW,ONLINE,4,147,7.37,139,2019,1
2019-01-24,YYC-SE,IN_STORE,37,1027,51.39,976,2019,1
2019-01-24,YYC-SE,ONLINE,3,136,6.81,129,2019,1
2019-01-25,YYC-DT,IN_STORE,77,1869,93.48,1776,2019,1
2019-01-25,YYC-DT,ONLINE,5,173,8.68,164,2019,1
2019-01-25,YYC-NW,IN_STORE,34,1379,68.97,1310,2019,1
2019-01-25,YYC-NW,ONLINE,4,137,6.89,130,2019,1
2019-01-25,YYC-SE,IN_STORE,31,1186,59.3,1126,2019,1
2019-01-25,YYC-SE,ONLINE,5,139,6.97,132,2019,1
2019-01-26,YYC-DT,IN_STORE,58,2181,109.09,2072,2019,1
2019-01-26,YYC-DT,ONLINE,8,232,11.64,221,2019,1
2019-01-26,YYC-NW,IN_STORE,44,1454,72.71,1381,2019,1
2019-01-26,YYC-NW,ONLINE,6,159,7.95,151,2019,1
2019-01-26,YYC-SE,IN_STORE,43,1345,67.28,1278,2019,1
2019-01-26,YYC-SE,ONLINE,4,147,7.39,140,2019,1
2019-01-27,YYC-DT,IN_STORE,69,2038,101.9,1936,2019,1
2019-01-27,YYC-DT,ONLINE,8,214,10.7,203,2019,1
2019-01-27,YYC-NW,IN_STORE,55,1385,69.3,1316,2019,1
2019-01-27,YYC-NW,ONLINE,5,137,6.88,130,2019,1
2019-01-27,YYC-SE,IN_STORE,37,1242,62.12,1180,2019,1
2019-01-27,YYC-SE,ONLINE,3,112,5.65,107,2019,1
2019-01-28,YYC-DT,IN_STORE,75,2011,100.58,1910,2019,1
2019-01-28,YYC-DT,ONLINE,8,222,11.14,211,2019,1
2019-01-28,YYC-NW,IN_STORE,39,1471,73.58,1398,2019,1
2019-01-28,YYC-NW,ONLINE,5,147,7.39,140,2019,1
2019-01-28,YYC-SE,IN_STORE,44,1228,61.44,1167,2019,1
2019-01-28,YYC-SE,ONLINE,4,108,5.4,102,2019,1
2019-01-29,YYC-DT,IN_STORE,77,1893,94.68,1798,2019,1
2019-01-29,YYC-DT,ONLINE,6,191,9.59,182,2019,1
2019-01-29,YYC-NW,IN_STORE,38,1375,68.79,1306,2019,1
2019-01-29,YYC-NW,ONLINE,4,163,8.18,155,2019,1
2019-01-29,YYC-SE,IN_STORE,35,1165,58.29,1107,2019,1
2019-01-29,YYC-SE,ONLINE,3,142,7.15,135,2019,1
2019-01-30,YYC-DT,IN_STORE,58,2057,102.85,1954,2019,1
2019-01-30,YYC-DT,ONLINE,7,251,12.59,239,2019,1
2019-01-30,YYC-NW,IN_STORE,49,1352,67.64,1285,2019,1
2019-01-30,YYC-NW,ONLINE,5,149,7.48,142,2019,1
2019-01-30,YYC-SE,IN_STORE,29,1104,55.24,1049,2019,1
2019-01-30,YYC-SE,ONLINE,3,115,5.79,109,2019,1
2019-01-31,YYC-DT,IN_STORE,47,2005,100.29,1905,2019,1
2019-01-31,YYC-DT,ONLINE,6,208,10.44,198,2019,1
2019-01-31,YYC-NW,IN_STORE,34,1421,71.06,1350,2019,1
2019-01-31,YYC-NW,ONLINE,4,160,8.04,152,2019,1
2019-01-31,YYC-SE,IN_STORE,29,1252,62.62,1189,2019,1
2019-01-31,YYC-SE,ONLINE,4,108,5.41,102,2019,1
2019-02-01,YYC-DT,IN_STORE,63,2382,119.13,2263,2019,2
2019-02-01,YYC-DT,ONLINE,6,268,13.42,254,2019,2
2019-02-01,YYC-NW,IN_STORE,54,1728,86.41,1641,2019,2
2019-02-01,YYC-NW,ONLINE,5,157,7.89,149,2019,2
2019-02-01,YYC-SE,IN_STORE,43,1440,72.05,1368,2019,2
2019-02-01,YYC-SE,ONLINE,5,160,8.03,152,2019,2
2019-02-02,YYC-DT,IN_STORE,93,2305,115.29,2190,2019,2
2019-02-02,YYC-DT,ONLINE,8,271,13.56,257,2019,2
2019-02-02,YYC-NW,IN_STORE,43,1677,83.89,1593,2019,2
2019-02-02,YYC-NW,ONLINE,7,187,9.4,178,2019,2
2019-02-02,YYC-SE,IN_STORE,47,1360,68.03,1292,2019,2
2019-02-02,YYC-SE,ONLINE,6,165,8.28,157,2019,2
2019-02-03,YYC-DT,IN_STORE,63,2311,115.57,2195,2019,2
2019-02-03,YYC-DT,ONLINE,6,262,13.11,249,2019,2
2019-02-03,YYC-NW,IN_STORE,61,1675,83.78,1591,2019,2
2019-02-03,YYC-NW,ONLINE,7,204,10.24,194,2019,2
2019-02-03,YYC-SE,IN_STORE,34,1372,68.61,1303,2019,2
2019-02-03,YYC-SE,ONLINE,3,121,6.07,115,2019,2
2019-02-04,YYC-DT,IN_STORE,93,2254,112.71,2141,2019,2
2019-02-04,YYC-DT,ONLINE,9,264,13.24,251,2019,2
2019-02-04,YYC-NW,IN_STORE,47,1620,81.0,1539,2019,2
2019-02-04,YYC-NW,ONLINE,5,156,7.82,148,2019,2
2019-02-04,YYC-SE,IN_STORE,57,1390,69.51,1320,2019,2
2019-02-04,YYC-SE,ONLINE,3,86,4.32,82,2019,2
2019-02-05,YYC-DT,IN_STORE,67,2001,100.06,1901,2019,2
2019-02-05,YYC-DT,ONLINE,5,245,12.26,232,2019,2
2019-02-05,YYC-NW,IN_STORE,44,1518,75.91,1442,2019,2
2019-02-05,YYC-NW,ONLINE,4,149,7.5,142,2019,2
